127.0.0.1 - - [02/Mar/2023:21:41:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:41:38 +0530] "GET /Servlet-test/ HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:41:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:42:33 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:42:50 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:42:58 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:42:59 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:42:59 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:43:59 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:44:00 +0530] "GET /Servlet-test/web HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:47:38 +0530] "GET /Servlet-test/web HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:48:04 +0530] "GET /Servlet-test/web HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:48:05 +0530] "GET /Servlet-test/web HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:48:05 +0530] "GET /Servlet-test/web HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:49:06 +0530] "GET /Servlet-test/web HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:49:07 +0530] "GET /Servlet-test/web HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:49:09 +0530] "GET /Servlet-test/web HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:49:09 +0530] "GET /Servlet-test/web HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [02/Mar/2023:21:49:10 +0530] "GET /Servlet-test/web HTTP/1.1" 200 52
